filter_number	excitation_intensity	excitation_area_size(cm^2)	closest_wavelength(nm)	absorbance	absorption_rate	absorbed_energy_density	emission_intensity
1.000000	0.060000	0.017670	337.000000	0.066780	0.142528	0.483966	18.333333
2.000000	0.070000	0.017670	337.000000	0.066780	0.142528	0.564627	19.666667
3.000000	0.080000	0.017670	337.000000	0.066780	0.142528	0.645288	23.666667
4.000000	0.085000	0.017670	337.000000	0.066780	0.142528	0.685618	226.000000
5.000000	0.090000	0.017670	337.000000	0.066780	0.142528	0.725949	455.000000
6.000000	0.100000	0.017670	337.000000	0.066780	0.142528	0.806609	631.666667
7.000000	0.120000	0.017670	337.000000	0.066780	0.142528	0.967931	1625.666667
8.000000	0.150000	0.017670	337.000000	0.066780	0.142528	1.209914	3119.666667
9.000000	0.180000	0.017670	337.000000	0.066780	0.142528	1.451897	5077.333333
10.000000	0.200000	0.017670	337.000000	0.066780	0.142528	1.613219	8258.666667
11.000000	0.250000	0.017670	337.000000	0.066780	0.142528	2.016524	12329.000000
12.000000	0.300000	0.017670	337.000000	0.066780	0.142528	2.419828	20563.000000
